original_filename,renamed_filename,status,flag_note,visual_read
WhatsApp Image 2026-06-16 at 5.13.29 PM.jpeg,ALBEKEM PLUS TABLETS (1'S).jpeg,MATCHED,,"PLUS, Albendazole400+Ivermectin6, 1's"
WhatsApp Image 2026-06-16 at 5.13.42 PM (2).jpeg,ALBEKEM SUSPENSION (10 ML).jpeg,MATCHED,,"suspension, Albendazole 200/5ml, 10ml, MRP19.11"
WhatsApp Image 2026-06-16 at 5.13.31 PM.jpeg,ALBEKEM TABLETS 400MG (1'S).jpeg,MATCHED,,"plain tablet, Albendazole 400mg, 1's, MRP8.68"
WhatsApp Image 2026-06-16 at 5.13.20 PM.jpeg,ALDIGESIC-RAB CAPSULES (10'S).jpeg,MATCHED,,"RAB, Aceclofenac SR200+Rabeprazole20, 10's, MRP164.05"
WhatsApp Image 2026-06-16 at 5.13.23 PM (1).jpeg,ALDIGESIC-TH 8 TABLETS  (10'S).jpeg,MATCHED,,"TH 8, Aceclofenac100+Thiocolchicoside8, 10's"
WhatsApp Image 2026-06-16 at 5.13.41 PM (1).jpeg,ALKEM-POD 100 DRY SYRUP (30ML).jpeg,MATCHED,,"100 Dry Syrup, Cefpodoxime 100/5ml, 30ml, MRP220"
WhatsApp Image 2026-06-16 at 5.13.28 PM (2).jpeg,ALKEM-POD 200 DT TABLETS (10'S).jpeg,MATCHED,,"200 DT, Cefpodoxime 200mg tab, 10's, MRP276.55"
WhatsApp Image 2026-06-16 at 5.13.49 PM (1).jpeg,ALKEM-POD 50 DRY SYRUP (WITH WFI) 30ML.jpeg,MATCHED,,"50 Dry Syrup, Cefpodoxime 50/5ml, 30ml, MRP129.35"
WhatsApp Image 2026-06-16 at 5.13.35 PM (1).jpeg,ALKEMOX PLUS 500 CAPSULES (10S).jpeg,MATCHED,,"PLUS-500, Amox250+Cloxacillin250, 10's, MRP62.80"
WhatsApp Image 2026-06-16 at 5.13.33 PM (2).jpeg,ALKEMOX-CV ES DRY SYRUP (50ML).jpeg,MATCHED,,"CV ES, Amox+Clav 642.9/5ml, 50ml, orange, MRP211.85"
